tabela_origem,tabela_canonica,coluna_origem,coluna_canonica,acao,justificativa
dim_tempo,dim_tempo,_ano,nr_ano_competencia,renomeada,Padronização snake_case e prefixo semântico.
dim_tempo,dim_tempo,_mes,nr_mes_competencia,renomeada,Padronização snake_case e prefixo semântico.
dim_tempo,dim_tempo,dias_no_mes,qt_dia_mes,renomeada,Padronização snake_case e prefixo semântico.
dim_tempo,dim_tempo,competencia,cd_competencia,renomeada,Padronização snake_case e prefixo semântico.
dim_tempo,dim_tempo,data_ref,dt_competencia,renomeada,Padronização snake_case e prefixo semântico.
dim_tempo,dim_tempo,trimestre,nr_trimestre,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,CNES,cd_cnes,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,municipio_cod6,cd_municipio_ibge_6,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,tipo_unidade_cod,cd_tipo_unidade,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,esfera_cod_cnes_lt,cd_esfera_administrativa_cnes_lt,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,natureza_jur_cod,cd_natureza_juridica,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,gestao_cod,cd_tipo_gestao,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,regiao_saude_cnes_lt,cd_regiao_saude_cnes_lt,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,qtd_regioes_declaradas_cnes_lt,qt_regiao_saude_declarada_cnes_lt,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,regiao_saude,cd_regiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,regiao_saude_nome,nm_regiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,macrorregiao_saude_codigo,cd_macrorregiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,macrorregiao_saude_nome,nm_macrorregiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,hospital_nome_atual,nm_hospital_atual,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,hospital_razao_social_atual,nm_razao_social_hospital_atual,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,esfera_administrativa_atual,nm_esfera_administrativa_atual,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,cadastro_cnes_atualizado_em,dt_atualizacao_cadastro_cnes,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,origem_regiao,ds_origem_regiao,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,fl_regiao_conflitante,fl_regiao_conflitante,mantida,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,fl_regiao_nao_confiavel,fl_regiao_nao_confiavel,mantida,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,tipo_unidade,nm_tipo_unidade,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,gestao,nm_tipo_gestao,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,natureza_juridica,nm_natureza_juridica,renomeada,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,fl_esfera_ausente_cnes_lt,fl_esfera_ausente_cnes_lt,mantida,Padronização snake_case e prefixo semântico.
dim_hospital,dim_hospital,fl_cadastro_atual_nao_historico,fl_cadastro_atual_nao_historico,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,cd_cnes,cd_cnes,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,nm_alias,nm_alias,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,nm_alias_normalizado,nm_alias_normalizado,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,tp_alias,tp_alias,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,fl_alias_preferencial,fl_alias_preferencial,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,ds_fonte_alias,ds_fonte_alias,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_alias,dim_hospital_alias,dt_referencia_fonte,dt_referencia_fonte,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,cd_cnes,cd_cnes,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,cd_municipio_ibge_7,cd_municipio_ibge_7,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,cd_distrito_sp,cd_distrito_sp,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,id_subprefeitura_sp,id_subprefeitura_sp,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,id_crs_sms_sp,id_crs_sms_sp,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,id_sts_sms_sp,id_sts_sms_sp,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,nm_bairro_cnes_atual,nm_bairro_cnes_atual,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,vl_latitude_cnes_atual,vl_latitude_cnes_atual,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,vl_longitude_cnes_atual,vl_longitude_cnes_atual,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,tp_metodo_atribuicao,tp_metodo_atribuicao,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,fl_atribuicao_ambigua,fl_atribuicao_ambigua,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,ds_fonte_territorio,ds_fonte_territorio,mantida,Padronização snake_case e prefixo semântico.
dim_hospital_territorio_atual,dim_hospital_territorio_atual,dt_referencia_fonte,dt_referencia_fonte,mantida,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,municipio_cod7,cd_municipio_ibge_7,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,municipio_cod6,cd_municipio_ibge_6,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,municipio_nome,nm_municipio,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,uf,sg_uf,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,microrregiao,nm_microrregiao,renomeada,Padronização snake_case e prefixo semântico.
