cd_regiao_saude,nm_regiao_saude,cd_macrorregiao_saude,nm_macrorregiao_saude,qt_municipio,qt_populacao_ibge_2022
35011,ALTO DO TIETE,3525,RRAS2,11,2918916
35012,FRANCO DA ROCHA,3524,RRAS3,5,591562
35013,MANANCIAIS,3523,RRAS4,8,1118024
35014,ROTA DOS BANDEIRANTES,3522,RRAS5,7,1954889
35015,GRANDE ABC,3534,RRAS1,7,2696530
35016,SAO PAULO,3521,RRAS6,1,11451999
35021,CENTRAL DO DRS II,3536,RRAS19,11,298249
35022,LAGOS DO DRS II,3536,RRAS19,12,197605
35023,CONSORCIOS DO DRS II,3536,RRAS19,17,263703
35031,CENTRAL DO DRS III,3535,RRAS18,8,314890
35032,CORACAO DO DRS III,3535,RRAS18,6,390525
35033,NOROESTE DO DRS III,3535,RRAS18,10,286891
35041,BAIXADA SANTISTA,3520,RRAS7,9,1805531
35051,NORTE - BARRETOS,3530,RRAS13,10,285684
35052,SUL - BARRETOS,3530,RRAS13,8,142795
35061,VALE DO JURUMIRIM,3518,RRAS9,17,303615
35062,BAURU,3518,RRAS9,18,644731
35063,POLO CUESTA,3518,RRAS9,13,302784
35064,JAU,3518,RRAS9,12,324768
35065,LINS,3518,RRAS9,8,157929
35071,BRAGANCA,3527,RRAS16,11,493718
35072,REGIAO METROPOLITANA DE CAMPINAS,3528,RRAS15,19,3159035
35073,JUNDIAI,3527,RRAS16,7,843633
35074,CIRCUITO DAS AGUAS,3528,RRAS15,5,131473
35081,TRES COLINAS,3530,RRAS13,10,424174
35082,ALTA ANHANGUERA,3530,RRAS13,6,148066
35083,ALTA MOGIANA,3530,RRAS13,6,111606
35091,ADAMANTINA,3533,RRAS10,10,130843
35092,ASSIS,3533,RRAS10,12,234483
35093,MARILIA,3533,RRAS10,19,382161
35094,OURINHOS,3533,RRAS10,13,230687
35095,TUPA,3533,RRAS10,8,125835
35101,ARARAS,3529,RRAS14,5,334950
35102,LIMEIRA,3529,RRAS14,4,357916
35103,PIRACICABA,3529,RRAS14,11,605080
35104,RIO CLARO,3529,RRAS14,6,256792
35111,ALTA PAULISTA,3532,RRAS11,12,132622
35112,ALTA SOROCABANA,3532,RRAS11,19,405916
35113,ALTO CAPIVARI,3532,RRAS11,5,56401
35114,EXTREMO OESTE PAULISTA,3532,RRAS11,5,88009
35115,PONTAL DO PARANAPANEMA,3532,RRAS11,4,63454
35121,VALE DO RIBEIRA,3520,RRAS7,15,277852
35131,HORIZONTE VERDE,3530,RRAS13,9,413702
35132,AQUIFERO GUARANI,3530,RRAS13,10,915131
35133,VALE DAS CACHOEIRAS,3530,RRAS13,7,135941
35141,BAIXA MOGIANA,3528,RRAS15,4,329533
35142,MANTIQUEIRA,3528,RRAS15,8,268362
35143,RIO PARDO,3528,RRAS15,8,206531
35151,CATANDUVA,3531,RRAS12,19,298381
35152,SANTA FE DO SUL,3531,RRAS12,6,52794
35153,JALES,3531,RRAS12,16,102341
35154,FERNANDOPOLIS,3531,RRAS12,13,121570
35155,SAO JOSE DO RIO PRETO,3531,RRAS12,20,765491
35156,JOSE BONIFACIO,3531,RRAS12,11,101427
35157,VOTUPORANGA,3531,RRAS12,17,198031
35161,ITAPETININGA,3519,RRAS8,13,496205
35162,ITAPEVA,3519,RRAS8,15,273248
35163,SOROCABA,3519,RRAS8,20,1780501
35171,ALTO VALE DO PARAIBA,3526,RRAS17,8,1086313
35172,CIRCUITO DA FE E VALE HISTORICO,3526,RRAS17,17,454993
35173,LITORAL NORTE,3526,RRAS17,4,344383
35174,VALE DO PARAIBA/REGIAO SERRANA,3526,RRAS17,10,620034
