_mes,internacoes,media_historica,IS,mes_nome
1,210225,204647.5,1.0272541809697162,Jan
2,202499,197131.0,1.027230623291111,Feb
3,233649,224316.5,1.041604161976493,Mar
4,218158,211865.5,1.0297004467456947,Apr
5,229386,217834.5,1.0530287902054083,May
6,232263,221535.0,1.0484257566524477,Jun
7,227183,223795.0,1.0151388547554683,Jul
8,237476,228927.5,1.0373415164189537,Aug
9,223515,222421.5,1.0049163412709652,Sep
10,224391,222282.0,1.0094879477420573,Oct
11,218054,215828.0,1.0103137683711103,Nov
12,217339,214594.5,1.0127892373756084,Dec
