DIAG_PRINC,internacoes,permanencia_media,custo_medio
O800,206376,2.6297243865565765,583.0739640752802
J189,94797,6.5802926252940495,1589.7447343270358
Z302,82373,1.1985723477353016,561.0378960338946
O809,79067,2.508100724701835,570.0788013962842
I64,75458,6.369887884651064,1970.8205234838845
N390,73591,6.152736068269218,704.0128265684663
I219,65465,5.8170778278469415,4687.043084090736
J180,61567,6.204102847304562,1365.022583689314
A419,53457,8.5722356286361,4734.463466337431
I500,52612,7.518969056489014,2566.7811911731164
