codigo_ibge7,nome,microrregiao,mesorregiao
3500105,Adamantina,Adamantina,Presidente Prudente
3500204,Adolfo,São José do Rio Preto,São José do Rio Preto
3500303,Aguaí,Pirassununga,Campinas
3500402,Águas da Prata,São João da Boa Vista,Campinas
3500501,Águas de Lindóia,Amparo,Campinas
3500550,Águas de Santa Bárbara,Avaré,Bauru
3500600,Águas de São Pedro,Piracicaba,Piracicaba
3500709,Agudos,Bauru,Bauru
3500758,Alambari,Itapetininga,Itapetininga
3500808,Alfredo Marcondes,Presidente Prudente,Presidente Prudente
3500907,Altair,São José do Rio Preto,São José do Rio Preto
3501004,Altinópolis,Batatais,Ribeirão Preto
3501103,Alto Alegre,Birigui,Araçatuba
3501152,Alumínio,Sorocaba,Macro Metropolitana Paulista
3501202,Álvares Florence,Votuporanga,São José do Rio Preto
3501301,Álvares Machado,Presidente Prudente,Presidente Prudente
3501400,Álvaro de Carvalho,Marília,Marília
3501509,Alvinlândia,Marília,Marília
3501608,Americana,Campinas,Campinas
3501707,Américo Brasiliense,Araraquara,Araraquara
3501806,Américo de Campos,Votuporanga,São José do Rio Preto
3501905,Amparo,Amparo,Campinas
3502002,Analândia,São Carlos,Araraquara
3502101,Andradina,Andradina,Araçatuba
3502200,Angatuba,Itapetininga,Itapetininga
3502309,Anhembi,Botucatu,Bauru
3502408,Anhumas,Presidente Prudente,Presidente Prudente
3502507,Aparecida,Guaratinguetá,Vale do Paraíba Paulista
3502606,Aparecida d'Oeste,Jales,São José do Rio Preto
3502705,Apiaí,Capão Bonito,Itapetininga
3502754,Araçariguama,Sorocaba,Macro Metropolitana Paulista
3502804,Araçatuba,Araçatuba,Araçatuba
3502903,Araçoiaba da Serra,Sorocaba,Macro Metropolitana Paulista
3503000,Aramina,Ituverava,Ribeirão Preto
3503109,Arandu,Avaré,Bauru
3503158,Arapeí,Bananal,Vale do Paraíba Paulista
3503208,Araraquara,Araraquara,Araraquara
3503307,Araras,Limeira,Piracicaba
3503356,Arco-Íris,Tupã,Marília
3503406,Arealva,Bauru,Bauru
3503505,Areias,Bananal,Vale do Paraíba Paulista
3503604,Areiópolis,Bauru,Bauru
3503703,Ariranha,Catanduva,São José do Rio Preto
3503802,Artur Nogueira,Mogi Mirim,Campinas
3503901,Arujá,Guarulhos,Metropolitana de São Paulo
3503950,Aspásia,Jales,São José do Rio Preto
3504008,Assis,Assis,Assis
3504107,Atibaia,Bragança Paulista,Macro Metropolitana Paulista
3504206,Auriflama,Auriflama,São José do Rio Preto
3504305,Avaí,Bauru,Bauru
3504404,Avanhandava,Birigui,Araçatuba
3504503,Avaré,Avaré,Bauru
3504602,Bady Bassitt,São José do Rio Preto,São José do Rio Preto
3504701,Balbinos,Bauru,Bauru
3504800,Bálsamo,São José do Rio Preto,São José do Rio Preto
3504909,Bananal,Bananal,Vale do Paraíba Paulista
3505005,Barão de Antonina,Itapeva,Itapetininga
3505104,Barbosa,Birigui,Araçatuba
3505203,Bariri,Jaú,Bauru
3505302,Barra Bonita,Jaú,Bauru
3505351,Barra do Chapéu,Capão Bonito,Itapetininga
3505401,Barra do Turvo,Registro,Litoral Sul Paulista
3505500,Barretos,Barretos,Ribeirão Preto
3505609,Barrinha,Ribeirão Preto,Ribeirão Preto
3505708,Barueri,Osasco,Metropolitana de São Paulo
3505807,Bastos,Tupã,Marília
3505906,Batatais,Batatais,Ribeirão Preto
3506003,Bauru,Bauru,Bauru
3506102,Bebedouro,Jaboticabal,Ribeirão Preto
3506201,Bento de Abreu,Araçatuba,Araçatuba
3506300,Bernardino de Campos,Ourinhos,Assis
3506359,Bertioga,Santos,Metropolitana de São Paulo
3506409,Bilac,Birigui,Araçatuba
3506508,Birigui,Birigui,Araçatuba
3506607,Biritiba Mirim,Mogi das Cruzes,Metropolitana de São Paulo
3506706,Boa Esperança do Sul,Araraquara,Araraquara
3506805,Bocaina,Jaú,Bauru
3506904,Bofete,Botucatu,Bauru
3507001,Boituva,Tatuí,Itapetininga
3507100,Bom Jesus dos Perdões,Bragança Paulista,Macro Metropolitana Paulista
3507159,Bom Sucesso de Itararé,Itapeva,Itapetininga
3507209,Borá,Assis,Assis
3507308,Boracéia,Jaú,Bauru
3507407,Borborema,Araraquara,Araraquara
3507456,Borebi,Bauru,Bauru
3507506,Botucatu,Botucatu,Bauru
3507605,Bragança Paulista,Bragança Paulista,Macro Metropolitana Paulista
3507704,Braúna,Birigui,Araçatuba
3507753,Brejo Alegre,Birigui,Araçatuba
3507803,Brodowski,Ribeirão Preto,Ribeirão Preto
3507902,Brotas,Rio Claro,Piracicaba
3508009,Buri,Itapeva,Itapetininga
3508108,Buritama,Birigui,Araçatuba
3508207,Buritizal,Ituverava,Ribeirão Preto
3508306,Cabrália Paulista,Bauru,Bauru
3508405,Cabreúva,Sorocaba,Macro Metropolitana Paulista
3508504,Caçapava,São José dos Campos,Vale do Paraíba Paulista
3508603,Cachoeira Paulista,Guaratinguetá,Vale do Paraíba Paulista
3508702,Caconde,São João da Boa Vista,Campinas
