cd_municipio_ibge_7,cd_municipio_ibge_6,nm_municipio,sg_uf,cd_regiao_saude,nm_regiao_saude,cd_macrorregiao_saude,nm_macrorregiao_saude,qt_populacao_ibge_2022,ds_fonte_populacao
3500105,350010,Adamantina,SP,35091,ADAMANTINA,3533,RRAS10,34687,Ministério da Saúde / IBGE 2022
3500204,350020,Adolfo,SP,35156,JOSE BONIFACIO,3531,RRAS12,4351,Ministério da Saúde / IBGE 2022
3500303,350030,Aguaí,SP,35142,MANTIQUEIRA,3528,RRAS15,32072,Ministério da Saúde / IBGE 2022
3500402,350040,Águas da Prata,SP,35142,MANTIQUEIRA,3528,RRAS15,7369,Ministério da Saúde / IBGE 2022
3500501,350050,Águas de Lindóia,SP,35074,CIRCUITO DAS AGUAS,3528,RRAS15,17930,Ministério da Saúde / IBGE 2022
3500550,350055,Águas de Santa Bárbara,SP,35061,VALE DO JURUMIRIM,3518,RRAS9,7177,Ministério da Saúde / IBGE 2022
3500600,350060,Águas de São Pedro,SP,35103,PIRACICABA,3529,RRAS14,2780,Ministério da Saúde / IBGE 2022
3500709,350070,Agudos,SP,35062,BAURU,3518,RRAS9,37680,Ministério da Saúde / IBGE 2022
3500758,350075,Alambari,SP,35161,ITAPETININGA,3519,RRAS8,6141,Ministério da Saúde / IBGE 2022
3500808,350080,Alfredo Marcondes,SP,35112,ALTA SOROCABANA,3532,RRAS11,4445,Ministério da Saúde / IBGE 2022
3500907,350090,Altair,SP,35051,NORTE - BARRETOS,3530,RRAS13,3451,Ministério da Saúde / IBGE 2022
3501004,350100,Altinópolis,SP,35133,VALE DAS CACHOEIRAS,3530,RRAS13,16818,Ministério da Saúde / IBGE 2022
3501103,350110,Alto Alegre,SP,35023,CONSORCIOS DO DRS II,3536,RRAS19,3841,Ministério da Saúde / IBGE 2022
3501152,350115,Alumínio,SP,35163,SOROCABA,3519,RRAS8,17301,Ministério da Saúde / IBGE 2022
3501202,350120,Álvares Florence,SP,35157,VOTUPORANGA,3531,RRAS12,3915,Ministério da Saúde / IBGE 2022
3501301,350130,Álvares Machado,SP,35112,ALTA SOROCABANA,3532,RRAS11,27255,Ministério da Saúde / IBGE 2022
3501400,350140,Álvaro de Carvalho,SP,35093,MARILIA,3533,RRAS10,4808,Ministério da Saúde / IBGE 2022
3501509,350150,Alvinlândia,SP,35093,MARILIA,3533,RRAS10,2885,Ministério da Saúde / IBGE 2022
3501608,350160,Americana,SP,35072,REGIAO METROPOLITANA DE CAMPINAS,3528,RRAS15,237240,Ministério da Saúde / IBGE 2022
3501707,350170,Américo Brasiliense,SP,35031,CENTRAL DO DRS III,3535,RRAS18,33019,Ministério da Saúde / IBGE 2022
3501806,350180,Américo de Campos,SP,35157,VOTUPORANGA,3531,RRAS12,5870,Ministério da Saúde / IBGE 2022
3501905,350190,Amparo,SP,35074,CIRCUITO DAS AGUAS,3528,RRAS15,68008,Ministério da Saúde / IBGE 2022
3502002,350200,Analândia,SP,35104,RIO CLARO,3529,RRAS14,4589,Ministério da Saúde / IBGE 2022
3502101,350210,Andradina,SP,35022,LAGOS DO DRS II,3536,RRAS19,59783,Ministério da Saúde / IBGE 2022
3502200,350220,Angatuba,SP,35161,ITAPETININGA,3519,RRAS8,24022,Ministério da Saúde / IBGE 2022
3502309,350230,Anhembi,SP,35063,POLO CUESTA,3518,RRAS9,5674,Ministério da Saúde / IBGE 2022
3502408,350240,Anhumas,SP,35112,ALTA SOROCABANA,3532,RRAS11,4023,Ministério da Saúde / IBGE 2022
3502507,350250,Aparecida,SP,35172,CIRCUITO DA FE E VALE HISTORICO,3526,RRAS17,32569,Ministério da Saúde / IBGE 2022
3502606,350260,Aparecida d'Oeste,SP,35153,JALES,3531,RRAS12,4086,Ministério da Saúde / IBGE 2022
3502705,350270,Apiaí,SP,35162,ITAPEVA,3519,RRAS8,24585,Ministério da Saúde / IBGE 2022
3502754,350275,Araçariguama,SP,35163,SOROCABA,3519,RRAS8,21522,Ministério da Saúde / IBGE 2022
3502804,350280,Araçatuba,SP,35021,CENTRAL DO DRS II,3536,RRAS19,200124,Ministério da Saúde / IBGE 2022
3502903,350290,Araçoiaba da Serra,SP,35163,SOROCABA,3519,RRAS8,32443,Ministério da Saúde / IBGE 2022
3503000,350300,Aramina,SP,35083,ALTA MOGIANA,3530,RRAS13,5420,Ministério da Saúde / IBGE 2022
